name,sector,geography,funding_type,amount_requested
Acme AgroTech,AgTech,Nigeria,Equity,$2.0M
Lagos FinServ,Fintech,Nigeria,Debt,$500K
Nairobi Health,HealthTech,Kenya,Grant,$100K
Ghana EduTech,EdTech,Ghana,Equity,$1.5M
Kenya Logistics,Logistics,Kenya,Equity,$3.0M
Accra Retail,Retail Tech,Ghana,Debt,$250K
Tanzania Solar,Clean Energy,Tanzania,Grant,$75K
Rwanda AgFinance,Fintech,Rwanda,Equity,$2.5M
Zambia Mining Tech,Mining Tech,Zambia,Equity,$4.0M
SA HealthTech,HealthTech,South Africa,Equity,$5.0M
Mozambique Transport,Logistics,Mozambique,Debt,$400K
Nigeria Fintech,Fintech,Nigeria,Equity,$3.5M
Ethiopia Coffee,AgTech,Ethiopia,Grant,$50K
Uganda Telecom,Telecom,Uganda,Equity,$2.0M
Congo Resources,Mining Tech,DRC,Equity,$6.0M
